/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
20,Process,3210-12,BOP,LSU-CC-P-54,3210-12-02,3213-FE-801-M1,Pebble Crusher 8 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-12-02,,,,TRUE,TRUE,TRUE,,,,
21,Process,3210-12,BOP,LSU-CC-P-54,3210-12-01,3213-FE-801,Pebble Crusher 8 Belt Feeder,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-12-01,,,,TRUE,TRUE,TRUE,,,,
22,Process,2200-01,Train 1,LSU-CR-P-01,2200-01-01,,Mine Area Plant Air,16-Feb-2026,2-Feb-2026,23-Feb-2026,21,6,(G:12d) (C),MEC+ELE,,PIL(MCC7&15),UPLOADED TO ACONEX,,,N/A,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,N/A,,,N/A,,A - Proceed,2026/2/4,N/A,,Subsystem C1C Ready,2026/2/4,Subsystem C1C Ready,2026/2/4,TRUE,2200-01-01,,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,,FALSE,TRUE,FALSE,0,0,,
23,,2100,,LSU-CR-P-40,,,Primary Crushing Air & Water BOP,,,,0,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
24,Process,3210-11,BOP,LSU-CC-P-54,3210-11-07,3213-ME-703,Pebble Crusher 7 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-11-07,,,,TRUE,TRUE,TRUE,,,,
25,Process,3210-11,BOP,LSU-CC-P-54,3210-11-06,3213-AX-701/702,Pebble Crusher 7 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-06,,,,,A - Proceed,2026/4/16,,,,,Partial,2026/4/16,Partial,2026/4/16,TRUE,3210-11-06,PR2ME-PIL-QTY-59-HOP-3210-11-06,,,TRUE,TRUE,TRUE,,,,
26,Process,3210-11,BOP,LSU-CC-P-54,3210-11-05,3213-HO-701,Pebble Crusher 7 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-11-05,,,,TRUE,TRUE,TRUE,,,,
27,Process,3210-11,BOP,LSU-CC-P-54,3210-11-04,3213-LU-701,Pebble Crusher 7 Lubrication Package,,,,0,,,,,PIL(MCC15),,,,,PR2ME-PIL-QTY-50-HOP-LOL-3210-11-04,,,,,,A - Proceed,2026/4/17,,,Partial,2026/4/17,Partial,2026/4/17,TRUE,3210-11-04,,PR2ME-PIL-QTY-50-HOP-LOL-3210-11-04,,TRUE,TRUE,TRUE,,,,
28,,2110,,LSU-CR-P-41,,,Primary Crusher 3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
29,Process,3210-11,BOP,LSU-CC-P-54,3210-11-03,3213-HP-701,Pebble Crusher 7 Hydraulic Power Unit,,,,0,,,,,PIL(MCC15),,,,,,,,,,,,,,,,,,,TRUE,3210-11-03,,,,TRUE,TRUE,TRUE,,,,
