/,Subsystem List,,,,,,,Skyline Data,,,,,,,,,,,,,,,,,Mechanical,,Piping,,E&I,,,,RCC / Aconex Report Last Week,,,,,,,,,,,,,,,,
/.,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
Remark
(Red: critical)","Priority
(1-Mill, 2-Air, 3-OLC2, 4-PRC)",Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Aconex Status,Aconex Report Date,Status,Date,Aconex Report (A - Proceed),Aconex Report Date,Area,LSU,,,Subsystem Number,Mechanical,Piping,Electrical&Instrument,一,二,三,七冶电气,七冶仪表,,
17,Process,3210-13,BOP,LSU-CC-P-54,3210-13-01,3213-CR-801,Pebble Crusher 8,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：
计划6月2日子系统现场验收

仪表：
计划6月2日子系统现场验收",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-13-01,,,,TRUE,FALSE,FALSE,,,,
18,Process,3210-12,BOP,LSU-CC-P-54,3210-12-04,3213-ME-801-M1/M2,Pebble Crusher 8 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：
计划6月2日子系统现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-04,,,,TRUE,FALSE,FALSE,,,,
19,Process,3210-12,BOP,LSU-CC-P-54,3210-12-03,3213-MD-801,Pebble Crusher 8 Feeder Metal Detector,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-12-03,N/A,"电气：N/A

仪表：计划6月2日子系统现场验收",,,A - Proceed,2026/4/21,N/A,,,,Partial,2026/4/21,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-03,PR2ME-PIL-QTY-59-HOP-3210-12-03,,,TRUE,FALSE,FALSE,,,,
20,Process,3210-12,BOP,LSU-CC-P-54,3210-12-02,3213-FE-801-M1,Pebble Crusher 8 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,,N/A,"电气：
计划6月2日子系统现场验收

仪表：N/A",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-02,,,,TRUE,FALSE,FALSE,,,,
21,Process,3210-12,BOP,LSU-CC-P-54,3210-12-01,3213-FE-801,Pebble Crusher 8 Belt Feeder,,,,0,,,,,PIL(MCC15),,,,"所属RQI（PR2ME-3200-PIL-QTY-RQI-30085）A类尾项未关闭：皮带拉绳卡扣未安装。（皮带防雨罩未安装（11号皮带(3215-CV-011)预计5月3日安装完成，12/13号皮带(3223-CV-012/013)防雨罩预计5月27日到货）；
皮带围栏未安装，最后一批预计5月28日到货）括号内已发邮件已降B类。
关闭可提交RQI（PR2ME-3200-PIL-QTY-30085），RQI签字后提交HOP包。
尾项现场已关闭，等待业主平台更新尾项后提交验收资料。",N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）
仪表：计划**提交RQI至阿曼审核",,,,,N/A,,,,,,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-01,,,,FALSE,FALSE,FALSE,,,,
22,Process,2200-01,Train 1,LSU-CR-P-01,2200-01-01,,Mine Area Plant Air,16-Feb-2026,2-Feb-2026,23-Feb-2026,21,6,(G:12d) (C),PIP,,PIL(MCC7&15),UPLOADED TO ACONEX,,,N/A,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,N/A,,,N/A,,A - Proceed,2026/2/4,N/A,,Subsystem C1C Ready,2026/2/4,Subsystem C1C Ready,2026/2/4,Plant Services,LSU-CR-P-01 Air And Water For Primary Crushing,,TRUE,2200-01-01,,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,,FALSE,TRUE,FALSE,0,0,,
23,,2100,,LSU-CR-P-40,,,Primary Crushing Air & Water BOP,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
24,Process,3210-11,BOP,LSU-CC-P-54,3210-11-07,3213-ME-703,Pebble Crusher 7 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-07,N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）
仪表：计划**提交RQI至阿曼审核",,,A - Proceed,2026/4/22,N/A,,,,Partial,2026/4/22,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-07,PR2ME-PIL-QTY-59-HOP-3210-11-07,,,TRUE,FALSE,FALSE,,,,
25,Process,3210-11,BOP,LSU-CC-P-54,3210-11-06,3213-AX-701/702,Pebble Crusher 7 Lube Air Cooled Exchanger 1 & 2,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-06,N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）
仪表：计划**提交RQI至阿曼审核",,,A - Proceed,2026/4/16,N/A,,,,Partial,2026/4/16,Partial,2026/4/16,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-06,PR2ME-PIL-QTY-59-HOP-3210-11-06,,,TRUE,FALSE,FALSE,,,,
26,Process,3210-11,BOP,LSU-CC-P-54,3210-11-05,3213-HO-701,Pebble Crusher 7 Discharge Hopper,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-05,N/A,"仪表：计划6月3日子系统RQI现场验收

电气：N/A",,,A - Proceed,2026/4/22,N/A,,,,Partial,2026/4/22,,,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-05,PR2ME-PIL-QTY-59-HOP-3210-11-05,,,TRUE,FALSE,FALSE,,,,
