查找,,,,,,,,,,,,,,,,,365,"Total Subsystem QTY (Week 20, 21 and 22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/.,,,,,,,,,,,,,,,,,81,Uploaded QTY(uploaded/canceled/N/A),,,,,,,RCC Verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Master List - 3-Week Lookahead
February 2nd, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"3WLA on Weeks: 6, 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems 3WLA,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Received Last Week,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Forecasted Next Week,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Delayed from Last week,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total Subsytems Next Week,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,System Number,Train,LSU,Subsystem Number,Component Number,Subsystem Name,Baseline,Forecast,Forecast,Diff,Forecast Week,Schedule Flag,Type,HOP Number,PIL,HOP Status ,EST,"Support
(Amman)",Issues (Mechanical), Issues (Piping),Issues (E&I),"PIL
216,Process,3210-13,BOP,LSU-CC-P-54,3210-13-02,3213-BL-801,Pebble Crusher Countershaft Box Blower & Filter,,,,0,,,,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-13-02,N/A,"电气：
计划6月2日子系统现场验收

仪表：
计划6月2日子系统现场验收",,,Issued for Review / Approval,2026/3/3,N/A,,,,,,,,,,,,3210-13-02,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-13-02,PR2ME-PIL-QTY-59-HOP-3210-13-02,,,TRUE,FALSE,FALSE,,,,
17,Process,3210-13,BOP,LSU-CC-P-54,3210-13-01,3213-CR-801,Pebble Crusher 8,,,,0,,,,,PIL(MCC15),,,,等待MCCR-69签署后提交HOP包,N/A,"电气：
计划6月2日子系统现场验收

仪表：
计划6月2日子系统现场验收",,,,,N/A,,,,,,,,,,,,3210-13-01,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-13-01,,,,FALSE,FALSE,FALSE,,,,
18,Process,3210-12,BOP,LSU-CC-P-54,3210-12-04,3213-ME-801-M1/M2,Pebble Crusher 8 Belt Feeder Retraction Wheel Blocks Drive 1 & 2,,,,0,,,,,PIL(MCC15),,,,等待MCCR-69签署后提交HOP包,N/A,"电气：
计划6月2日子系统现场验收

仪表：N/A",,,,,N/A,,,,,,,,,,,,3210-12-04,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-04,,,,FALSE,FALSE,FALSE,,,,
19,Process,3210-12,BOP,LSU-CC-P-54,3210-12-03,3213-MD-801,Pebble Crusher 8 Feeder Metal Detector,,,,0,,,MEC+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-12-03,N/A,"电气：N/A

仪表：计划6月2日子系统现场验收",,,A - Proceed,2026/4/21,N/A,,,,Partial,2026/4/21,,,,,,,3210-12-03,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-03,PR2ME-PIL-QTY-59-HOP-3210-12-03,,,TRUE,FALSE,FALSE,,,,
20,Process,3210-12,BOP,LSU-CC-P-54,3210-12-02,3213-FE-801-M1,Pebble Crusher 8 Belt Feeder Motor,,,,0,,,,,PIL(MCC15),,,,等待MCCR-69签署后提交HOP包,N/A,"电气：
计划6月2日子系统现场验收

仪表：N/A",,,,,N/A,,,,,,,,,,,,3210-12-02,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-02,,,,FALSE,FALSE,FALSE,,,,
21,Process,3210-12,BOP,LSU-CC-P-54,3210-12-01,3213-FE-801,Pebble Crusher 8 Belt Feeder,,,,0,,,MEC+ELE+INS,,PIL(MCC15),,,,RQI(PR2ME-3200-PIL-QTY-RQI-30085 5月3日提交业主审核,N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）
仪表：计划**提交RQI至阿曼审核",,,,,N/A,,,,,,,,,,,,3210-12-01,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-12-01,,,,FALSE,FALSE,FALSE,,,,
22,Process,2200-01,Train 1,LSU-CR-P-01,2200-01-01,,Mine Area Plant Air,16-Feb-2026,2-Feb-2026,23-Feb-2026,21,6,(G:12d) (C),PIP,,PIL(MCC7&15),UPLOADED TO ACONEX,,,N/A,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,N/A,,,N/A,,A - Proceed,2026/2/4,N/A,,Subsystem C1C Ready,2026/2/4,Subsystem C1C Ready,2026/2/4,,,,,2200-01-01,TRUE,Plant Services,LSU-CR-P-01 Air And Water For Primary Crushing,,TRUE,2200-01-01,,PR2ME-PIL-QTY-50-HOP-AP-2200-01-01,,FALSE,TRUE,FALSE,0,0,,
23,,2100,,LSU-CR-P-40,,,Primary Crushing Air & Water BOP,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,
24,Process,3210-11,BOP,LSU-CC-P-54,3210-11-07,3213-ME-703,Pebble Crusher 7 Discharge Chute Inspection Hatch Hydraulic Actuator,,,,0,,,MEC+ELE+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-07,N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）

仪表：计划**提交RQI至阿曼审核",,,A - Proceed,2026/4/22,N/A,,,,Partial,2026/4/22,,,,,,,3210-11-07,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-07,PR2ME-PIL-QTY-59-HOP-3210-11-07,,,TRUE,FALSE,FALSE,,,,
25,Process,3210-11,BOP,LSU-CC-P-54,3210-11-06,3213-AX-701/702,Pebble Crusher 7 Lube Air Cooled Exchanger 1 & 2,,,,0,,,MEC+ELE+INS,,PIL(MCC15),,,,PR2ME-PIL-QTY-59-HOP-3210-11-06,N/A,"电气：NA （待技术员将Tag Register表格与PID核对后，再最终确认）

仪表：计划**提交RQI至阿曼审核",,,A - Proceed,2026/4/16,N/A,,,,Partial,2026/4/16,Partial,2026/4/16,,,,,3210-11-06,TRUE,Grinding,LSU-CC-P-54 Pebble Crushers,,TRUE,3210-11-06,PR2ME-PIL-QTY-59-HOP-3210-11-06,,,TRUE,FALSE,FALSE,,,,
